Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Bom Jesus do Tocantins (TO);(TO);Bom Jesus do Tocantins;#N/D;0,66;0,621;0,833;0,555
Bom Jesus (PB);(PB);Bom Jesus;250220;0,597;0,584;0,762;0,477
Bom Jesus (PI);(PI);Bom Jesus;220190;0,668;0,665;0,799;0,562
Bom Jesus (RN);(RN);Bom Jesus;240170;0,584;0,583;0,743;0,46
Bom Jesus (RS);(RS);Bom Jesus;#N/D;0,666;0,697;0,832;0,51
Bom Jesus (SC);(SC);Bom Jesus;420253;0,718;0,74;0,827;0,606
Bom Lugar (MA);(MA);Bom Lugar;#N/D;0,562;0,486;0,741;0,493
Bom Princípio do Piauí (PI);(PI);Bom Princípio do Piauí;#N/D;0,532;0,526;0,77;0,372
Bom Princípio (RS);(RS);Bom Princípio;#N/D;0,746;0,751;0,836;0,661
Bom Progresso (RS);(RS);Bom Progresso;#N/D;0,723;0,7;0,84;0,643
Bom Repouso (MG);(MG);Bom Repouso;310790;0,653;0,647;0,821;0,523
Bom Retiro do Sul (RS);(RS);Bom Retiro do Sul;430240;0,739;0,725;0,857;0,649
Bom Retiro (SC);(SC);Bom Retiro;420260;0,699;0,704;0,869;0,559
Bom Sucesso de Itararé (SP);(SP);Bom Sucesso de Itararé;#N/D;0,66;0,605;0,775;0,613
Bom Sucesso do Sul (PR);(PR);Bom Sucesso do Sul;410322;0,742;0,704;0,836;0,695
Bom Sucesso (MG);(MG);Bom Sucesso;310800;0,692;0,68;0,808;0,602
Bom Sucesso (PB);(PB);Bom Sucesso;#N/D;0,592;0,558;0,752;0,494
Bom Sucesso (PR);(PR);Bom Sucesso;410320;0,686;0,692;0,82;0,57
Bonfim do Piauí (PI);(PI);Bonfim do Piauí;#N/D;0,542;0,542;0,707;0,415
Bonfim (MG);(MG);Bonfim;310810;0,637;0,669;0,834;0,464
Bonfim (RR);(RR);Bonfim;140015;0,626;0,597;0,809;0,509
Bonfinópolis de Minas (MG);(MG);Bonfinópolis de Minas;#N/D;0,678;0,655;0,796;0,598
Bonfinópolis (GO);(GO);Bonfinópolis;#N/D;0,683;0,671;0,817;0,58
Boninal (BA);(BA);Boninal;#N/D;0,612;0,564;0,789;0,514
Bonito (BA);(BA);Bonito;290405;0,561;0,552;0,685;0,467
Bonito de Minas (MG);(MG);Bonito de Minas;310825;0,537;0,514;0,776;0,388
Bonito de Santa Fé (PB);(PB);Bonito de Santa Fé;#N/D;0,574;0,564;0,786;0,427
Bonito (MS);(MS);Bonito;500220;0,67;0,714;0,831;0,508
Bonito (PA);(PA);Bonito;150160;0,546;0,531;0,77;0,398
Bonito (PE);(PE);Bonito;260230;0,561;0,559;0,754;0,42
Bonópolis (GO);(GO);Bonópolis;#N/D;0,63;0,63;0,813;0,488
Boqueirão do Leão (RS);(RS);Boqueirão do Leão;#N/D;0,7;0,725;0,843;0,562
Boqueirão do Piauí (PI);(PI);Boqueirão do Piauí;#N/D;0,56;0,555;0,729;0,434
Boqueirão (PB);(PB);Boqueirão;#N/D;0,607;0,592;0,763;0,496
Boquim (SE);(SE);Boquim;280067;0,604;0,581;0,771;0,492
Boquira (BA);(BA);Boquira;290410;0,603;0,564;0,782;0,497
Boracéia (SP);(SP);Boracéia;#N/D;0,754;0,723;0,866;0,685
Borá (SP);(SP);Borá;#N/D;0,746;0,712;0,863;0,675
Borba (AM);(AM);Borba;130080;0,56;0,532;0,776;0,425
Borborema (PB);(PB);Borborema;#N/D;0,558;0,544;0,75;0,426
Borborema (SP);(SP);Borborema;350740;0,73;0,71;0,831;0,658
Borda da Mata (MG);(MG);Borda da Mata;310830;0,73;0,703;0,865;0,64
Borebi (SP);(SP);Borebi;350745;0,705;0,674;0,846;0,615
Borrazópolis (PR);(PR);Borrazópolis;#N/D;0,717;0,695;0,838;0,633
Bossoroca (RS);(RS);Bossoroca;#N/D;0,692;0,665;0,821;0,608
Botelhos (MG);(MG);Botelhos;310840;0,702;0,702;0,868;0,568
Botucatu (SP);(SP);Botucatu;350750;0,8;0,79;0,869;0,746
Botumirim (MG);(MG);Botumirim;310850;0,602;0,54;0,782;0,517
Botuporã (BA);(BA);Botuporã;#N/D;0,575;0,543;0,754;0,464
Botuverá (SC);(SC);Botuverá;#N/D;0,724;0,741;0,848;0,604
Bozano (RS);(RS);Bozano;#N/D;0,745;0,773;0,853;0,628
Braço do Norte (SC);(SC);Braço do Norte;#N/D;0,778;0,746;0,881;0,716
Braço do Trombudo (SC);(SC);Braço do Trombudo;#N/D;0,78;0,766;0,883;0,702
Bragança (PA);(PA);Bragança;#N/D;0,6;0,589;0,755;0,486
Bragança Paulista (SP);(SP);Bragança Paulista;#N/D;0,776;0,772;0,861;0,704
Braganey (PR);(PR);Braganey;410335;0,701;0,689;0,797;0,627
Braga (RS);(RS);Braga;430260;0,674;0,656;0,83;0,563
Branquinha (AL);(AL);Branquinha;270110;0,513;0,534;0,699;0,362
Brasilândia de Minas (MG);(MG);Brasilândia de Minas;#N/D;0,674;0,646;0,848;0,559
Brasilândia do Sul (PR);(PR);Brasilândia do Sul;#N/D;0,681;0,68;0,813;0,572
Brasilândia do Tocantins (TO);(TO);Brasilândia do Tocantins;#N/D;0,684;0,64;0,831;0,601
Brasilândia (MS);(MS);Brasilândia;#N/D;0,701;0,721;0,837;0,57
Brasiléia (AC);(AC);Brasiléia;#N/D;0,614;0,619;0,77;0,485
Brasileira (PI);(PI);Brasileira;220196;0,577;0,572;0,752;0,446
Brasília de Minas (MG);(MG);Brasília de Minas;#N/D;0,656;0,612;0,813;0,568
Brasília (DF);(DF);Brasília;#N/D;0,824;0,863;0,873;0,742
Brasil Novo (PA);(PA);Brasil Novo;150172;0,613;0,632;0,809;0,451
Brasnorte (MT);(MT);Brasnorte;510190;0,696;0,695;0,85;0,571
Brasópolis (MG);(MG);Brasópolis;#N/D;0,692;0,697;0,841;0,566
Brás Pires (MG);(MG);Brás Pires;#N/D;0,625;0,582;0,801;0,523
Braúnas (MG);(MG);Braúnas;#N/D;0,624;0,635;0,802;0,478
Braúna (SP);(SP);Braúna;#N/D;0,737;0,725;0,83;0,664
Brazabrantes (GO);(GO);Brazabrantes;520360;0,701;0,677;0,826;0,615
Brejão (PE);(PE);Brejão;#N/D;0,547;0,54;0,725;0,417
Brejetuba (ES);(ES);Brejetuba;320115;0,656;0,63;0,828;0,54
Brejinho de Nazaré (TO);(TO);Brejinho de Nazaré;#N/D;0,686;0,635;0,82;0,619
Brejinho (PE);(PE);Brejinho;#N/D;0,574;0,563;0,681;0,493
Brejinho (RN);(RN);Brejinho;#N/D;0,592;0,585;0,722;0,492
Brejo Alegre (SP);(SP);Brejo Alegre;350775;0,71;0,702;0,826;0,618
Brejo da Madre de Deus (PE);(PE);Brejo da Madre de Deus;260260;0,562;0,581;0,734;0,417
Brejo de Areia (MA);(MA);Brejo de Areia;#N/D;0,519;0,507;0,677;0,408
Brejo do Cruz (PB);(PB);Brejo do Cruz;#N/D;0,597;0,575;0,798;0,463
Brejo do Piauí (PI);(PI);Brejo do Piauí;#N/D;0,515;0,531;0,725;0,354
Brejo dos Santos (PB);(PB);Brejo dos Santos;250290;0,619;0,564;0,776;0,541
Brejões (BA);(BA);Brejões;#N/D;0,597;0,56;0,775;0,49
Brejo Grande do Araguaia (PA);(PA);Brejo Grande do Araguaia;150175;0,591;0,588;0,743;0,473
Brejo Grande (SE);(SE);Brejo Grande;280070;0,54;0,515;0,701;0,435
Brejolândia (BA);(BA);Brejolândia;#N/D;0,592;0,533;0,746;0,523
Brejo (MA);(MA);Brejo;210210;0,562;0,517;0,758;0,454
Brejo Santo (CE);(CE);Brejo Santo;230250;0,647;0,596;0,768;0,592
Breu Branco (PA);(PA);Breu Branco;150178;0,568;0,555;0,781;0,422
Breves (PA);(PA);Breves;150180;0,503;0,524;0,778;0,312
Britânia (GO);(GO);Britânia;#N/D;0,672;0,692;0,802;0,546
Brochier (RS);(RS);Brochier;#N/D;0,699;0,723;0,851;0,554
Brodowski (SP);(SP);Brodowski;350780;0,755;0,738;0,864;0,675
Brotas de Macaúbas (BA);(BA);Brotas de Macaúbas;#N/D;0,57;0,552;0,754;0,445
Brotas (SP);(SP);Brotas;350790;0,74;0,724;0,815;0,688
Brumadinho (MG);(MG);Brumadinho;310900;0,747;0,761;0,857;0,639
Brumado (BA);(BA);Brumado;290460;0,656;0,63;0,807;0,554
Brunópolis (SC);(SC);Brunópolis;#N/D;0,661;0,646;0,819;0,545
Brusque (SC);(SC);Brusque;420290;0,795;0,794;0,894;0,707
Bueno Brandão (MG);(MG);Bueno Brandão;#N/D;0,658;0,662;0,848;0,507
Buenópolis (MG);(MG);Buenópolis;#N/D;0,669;0,65;0,796;0,579
Buenos Aires (PE);(PE);Buenos Aires;260270;0,593;0,556;0,778;0,481
Buerarema (BA);(BA);Buerarema;290470;0,613;0,604;0,772;0,495
Bugre (MG);(MG);Bugre;310925;0,627;0,602;0,8;0,511
Buíque (PE);(PE);Buíque;#N/D;0,527;0,497;0,746;0,395
Bujari (AC);(AC);Bujari;120013;0,589;0,603;0,772;0,439
Bujaru (PA);(PA);Bujaru;150190;0,552;0,495;0,779;0,437
Buri (SP);(SP);Buri;350800;0,667;0,642;0,799;0,578
Buritama (SP);(SP);Buritama;350810;0,763;0,736;0,839;0,72
Buriti Alegre (GO);(GO);Buriti Alegre;520390;0,71;0,7;0,831;0,614
Buriti Bravo (MA);(MA);Buriti Bravo;210230;0,59;0,539;0,752;0,506
Buriticupu (MA);(MA);Buriticupu;210232;0,556;0,533;0,708;0,455
Buriti de Goiás (GO);(GO);Buriti de Goiás;#N/D;0,687;0,707;0,806;0,57
Buriti dos Lopes (PI);(PI);Buriti dos Lopes;#N/D;0,565;0,544;0,735;0,452
Buriti dos Montes (PI);(PI);Buriti dos Montes;#N/D;0,574;0,527;0,78;0,46
Buriti do Tocantins (TO);(TO);Buriti do Tocantins;170380;0,627;0,575;0,713;0,601
Buriti (MA);(MA);Buriti;210220;0,548;0,479;0,714;0,48
Buritinópolis (GO);(GO);Buritinópolis;#N/D;0,704;0,727;0,813;0,591
Buritirama (BA);(BA);Buritirama;290475;0,565;0,504;0,761;0,471
Buritirana (MA);(MA);Buritirana;210235;0,583;0,54;0,725;0,505
Buritis (MG);(MG);Buritis;310930;0,672;0,666;0,815;0,558
Buritis (RO);(RO);Buritis;110045;0,616;0,65;0,751;0,479
Buritizal (SP);(SP);Buritizal;350820;0,735;0,743;0,83;0,643
Buritizeiro (MG);(MG);Buritizeiro;310940;0,624;0,603;0,768;0,524
Butiá (RS);(RS);Butiá;#N/D;0,689;0,691;0,848;0,558
Caapiranga (AM);(AM);Caapiranga;#N/D;0,569;0,544;0,775;0,436
Caaporã (PB);(PB);Caaporã;#N/D;0,602;0,565;0,757;0,509
Caarapó (MS);(MS);Caarapó;#N/D;0,692;0,676;0,828;0,592
Caatiba (BA);(BA);Caatiba;290480;0,561;0,579;0,752;0,406
Cabaceiras do Paraguaçu (BA);(BA);Cabaceiras do Paraguaçu;#N/D;0,581;0,525;0,763;0,49
Cabaceiras (PB);(PB);Cabaceiras;250310;0,611;0,574;0,759;0,523
Cabeceira Grande (MG);(MG);Cabeceira Grande;#N/D;0,648;0,638;0,788;0,542
Cabeceiras do Piauí (PI);(PI);Cabeceiras do Piauí;#N/D;0,583;0,54;0,769;0,476
Cabeceiras (GO);(GO);Cabeceiras;520400;0,668;0,637;0,819;0,571
Cabedelo (PB);(PB);Cabedelo;250320;0,748;0,782;0,822;0,651
Cabixi (RO);(RO);Cabixi;110003;0,65;0,65;0,757;0,559
Cabo de Santo Agostinho (PE);(PE);Cabo de Santo Agostinho;260290;0,686;0,654;0,812;0,609
Cabo Frio (RJ);(RJ);Cabo Frio;330070;0,735;0,743;0,836;0,64
Cabo Verde (MG);(MG);Cabo Verde;310950;0,674;0,686;0,847;0,527
Cabrália Paulista (SP);(SP);Cabrália Paulista;#N/D;0,694;0,667;0,811;0,619
Cabreúva (SP);(SP);Cabreúva;#N/D;0,738;0,717;0,828;0,678
Cabrobó (PE);(PE);Cabrobó;#N/D;0,623;0,581;0,773;0,539
Caçador (SC);(SC);Caçador;#N/D;0,735;0,728;0,878;0,62
Caçapava do Sul (RS);(RS);Caçapava do Sul;#N/D;0,704;0,699;0,855;0,585
Caçapava (SP);(SP);Caçapava;#N/D;0,788;0,754;0,858;0,755
Cacaulândia (RO);(RO);Cacaulândia;#N/D;0,646;0,664;0,801;0,506
Cacequi (RS);(RS);Cacequi;#N/D;0,7;0,68;0,807;0,626
Cáceres (MT);(MT);Cáceres;#N/D;0,708;0,691;0,813;0,633
Cachoeira Alta (GO);(GO);Cachoeira Alta;520410;0,71;0,75;0,84;0,569
Cachoeira (BA);(BA);Cachoeira;290490;0,647;0,615;0,762;0,577
Cachoeira da Prata (MG);(MG);Cachoeira da Prata;310960;0,741;0,689;0,834;0,707
Cachoeira de Goiás (GO);(GO);Cachoeira de Goiás;#N/D;0,727;0,68;0,838;0,674
Cachoeira de Minas (MG);(MG);Cachoeira de Minas;310970;0,706;0,673;0,821;0,637
Cachoeira de Pajeú (MG);(MG);Cachoeira de Pajeú;#N/D;0,578;0,563;0,771;0,444
Cachoeira do Arari (PA);(PA);Cachoeira do Arari;#N/D;0,546;0,525;0,778;0,398
Cachoeira do Piriá (PA);(PA);Cachoeira do Piriá;#N/D;0,473;0,449;0,779;0,303
Cachoeira dos Índios (PB);(PB);Cachoeira dos Índios;#N/D;0,587;0,583;0,766;0,453
Cachoeira do Sul (RS);(RS);Cachoeira do Sul;430300;0,742;0,739;0,854;0,648
Cachoeira Dourada (GO);(GO);Cachoeira Dourada;520425;0,698;0,703;0,804;0,602
Cachoeira Dourada (MG);(MG);Cachoeira Dourada;310980;0,726;0,695;0,85;0,648
Cachoeira Grande (MA);(MA);Cachoeira Grande;210237;0,537;0,422;0,773;0,476
Cachoeira Paulista (SP);(SP);Cachoeira Paulista;350860;0,764;0,733;0,837;0,728
Cachoeiras de Macacu (RJ);(RJ);Cachoeiras de Macacu;330080;0,7;0,695;0,817;0,603
Cachoeirinha (PE);(PE);Cachoeirinha;#N/D;0,579;0,587;0,753;0,439
Cachoeirinha (RS);(RS);Cachoeirinha;430310;0,757;0,749;0,857;0,675
Cachoeirinha (TO);(TO);Cachoeirinha;170382;0,627;0,548;0,762;0,59
Cachoeiro de Itapemirim (ES);(ES);Cachoeiro de Itapemirim;320120;0,746;0,733;0,837;0,677
Cacimba de Areia (PB);(PB);Cacimba de Areia;250340;0,596;0,553;0,771;0,497
Cacimba de Dentro (PB);(PB);Cacimba de Dentro;#N/D;0,564;0,551;0,777;0,419
Cacimbas (PB);(PB);Cacimbas;#N/D;0,523;0,501;0,672;0,425
Cacimbinhas (AL);(AL);Cacimbinhas;270120;0,531;0,559;0,697;0,384
Cacique Doble (RS);(RS);Cacique Doble;430320;0,662;0,677;0,81;0,528
Cacoal (RO);(RO);Cacoal;110004;0,718;0,727;0,821;0,62
Caconde (SP);(SP);Caconde;350870;0,72;0,701;0,858;0,62
Caçu (GO);(GO);Caçu;#N/D;0,73;0,774;0,84;0,599
Caculé (BA);(BA);Caculé;#N/D;0,637;0,621;0,769;0,541
Caém (BA);(BA);Caém;#N/D;0,546;0,535;0,701;0,434
Caetanópolis (MG);(MG);Caetanópolis;#N/D;0,706;0,674;0,845;0,617
Caetanos (BA);(BA);Caetanos;290515;0,542;0,536;0,725;0,409
Caeté (MG);(MG);Caeté;#N/D;0,728;0,69;0,844;0,663
Caetés (PE);(PE);Caetés;#N/D;0,522;0,497;0,732;0,392
Caetité (BA);(BA);Caetité;#N/D;0,625;0,631;0,801;0,484
Cafarnaum (BA);(BA);Cafarnaum;290530;0,584;0,554;0,734;0,49
Cafeara (PR);(PR);Cafeara;410340;0,693;0,683;0,811;0,602
Cafelândia (PR);(PR);Cafelândia;#N/D;0,748;0,723;0,835;0,692
Cafelândia (SP);(SP);Cafelândia;#N/D;0,742;0,714;0,867;0,661
Cafezal do Sul (PR);(PR);Cafezal do Sul;410347;0,692;0,686;0,792;0,611
Caiabu (SP);(SP);Caiabu;350890;0,729;0,682;0,823;0,691
Caiana (MG);(MG);Caiana;311010;0,633;0,631;0,833;0,483
Caiapônia (GO);(GO);Caiapônia;#N/D;0,693;0,701;0,808;0,588
Caibaté (RS);(RS);Caibaté;#N/D;0,719;0,709;0,857;0,611
Caibi (SC);(SC);Caibi;420310;0,728;0,737;0,83;0,631
Caiçara do Norte (RN);(RN);Caiçara do Norte;#N/D;0,574;0,572;0,727;0,454
Caiçara do Rio do Vento (RN);(RN);Caiçara do Rio do Vento;#N/D;0,587;0,553;0,734;0,499
Caiçara (PB);(PB);Caiçara;#N/D;0,592;0,58;0,733;0,488
Caiçara (RS);(RS);Caiçara;#N/D;0,699;0,721;0,817;0,58
Caicó (RN);(RN);Caicó;#N/D;0,71;0,703;0,824;0,619
Caieiras (SP);(SP);Caieiras;350900;0,781;0,74;0,861;0,749
Cairu (BA);(BA);Cairu;#N/D;0,627;0,6;0,807;0,51
Caiuá (SP);(SP);Caiuá;#N/D;0,697;0,665;0,802;0,635
Cajamar (SP);(SP);Cajamar;350920;0,728;0,713;0,81;0,668
Cajapió (MA);(MA);Cajapió;#N/D;0,553;0,466;0,72;0,505
Cajari (MA);(MA);Cajari;#N/D;0,523;0,456;0,747;0,421
Cajati (SP);(SP);Cajati;350925;0,694;0,658;0,832;0,611
Cajazeiras do Piauí (PI);(PI);Cajazeiras do Piauí;#N/D;0,562;0,525;0,752;0,449
Cajazeiras (PB);(PB);Cajazeiras;250370;0,679;0,668;0,815;0,574
Cajazeirinhas (PB);(PB);Cajazeirinhas;#N/D;0,55;0,521;0,773;0,413
Cajobi (SP);(SP);Cajobi;350930;0,734;0,714;0,822;0,674
Cajueiro (AL);(AL);Cajueiro;270130;0,562;0,542;0,691;0,473
Cajueiro da Praia (PI);(PI);Cajueiro da Praia;#N/D;0,546;0,551;0,739;0,4
Cajuri (MG);(MG);Cajuri;311020;0,617;0,599;0,804;0,487
Cajuru (SP);(SP);Cajuru;350940;0,713;0,693;0,825;0,633
Calçado (PE);(PE);Calçado;#N/D;0,566;0,529;0,731;0,468
Calçoene (AP);(AP);Calçoene;#N/D;0,643;0,636;0,759;0,55
Caldas Brandão (PB);(PB);Caldas Brandão;#N/D;0,568;0,562;0,723;0,451
Caldas (MG);(MG);Caldas;311030;0,687;0,701;0,873;0,529
Caldas Novas (GO);(GO);Caldas Novas;520450;0,733;0,739;0,832;0,64
Caldazinha (GO);(GO);Caldazinha;520455;0,685;0,669;0,814;0,591
Caldeirão Grande (BA);(BA);Caldeirão Grande;#N/D;0,573;0,526;0,758;0,473
Caldeirão Grande do Piauí (PI);(PI);Caldeirão Grande do Piauí;#N/D;0,588;0,561;0,744;0,486
Califórnia (PR);(PR);Califórnia;#N/D;0,722;0,718;0,821;0,638
Calmon (SC);(SC);Calmon;#N/D;0,622;0,618;0,779;0,5
Calumbi (PE);(PE);Calumbi;#N/D;0,571;0,567;0,715;0,46
Camacan (BA);(BA);Camacan;290560;0,581;0,608;0,768;0,419
Camaçari (BA);(BA);Camaçari;#N/D;0,694;0,681;0,798;0,616
Camacho (MG);(MG);Camacho;#N/D;0,69;0,639;0,84;0,612
Camalaú (PB);(PB);Camalaú;#N/D;0,567;0,549;0,77;0,431
Camamu (BA);(BA);Camamu;290580;0,565;0,562;0,71;0,452
Camanducaia (MG);(MG);Camanducaia;311050;0,689;0,707;0,837;0,553
Camapuã (MS);(MS);Camapuã;#N/D;0,703;0,715;0,817;0,596
Camaquã (RS);(RS);Camaquã;#N/D;0,697;0,715;0,819;0,578
Camaragibe (PE);(PE);Camaragibe;260345;0,692;0,656;0,805;0,628
Camargo (RS);(RS);Camargo;430355;0,736;0,762;0,854;0,612
Cambará do Sul (RS);(RS);Cambará do Sul;#N/D;0,697;0,705;0,838;0,574
Cambará (PR);(PR);Cambará;#N/D;0,721;0,711;0,818;0,645
Cambé (PR);(PR);Cambé;#N/D;0,734;0,724;0,84;0,651
Cambira (PR);(PR);Cambira;410380;0,725;0,702;0,835;0,651
Camboriú (SC);(SC);Camboriú;#N/D;0,726;0,736;0,866;0,6
Cambuci (RJ);(RJ);Cambuci;330090;0,691;0,672;0,809;0,608
Cambuí (MG);(MG);Cambuí;#N/D;0,751;0,722;0,872;0,674
Cambuquira (MG);(MG);Cambuquira;311070;0,699;0,691;0,856;0,577
Cametá (PA);(PA);Cametá;#N/D;0,577;0,538;0,754;0,474
Camocim (CE);(CE);Camocim;#N/D;0,62;0,565;0,729;0,578
Camocim de São Félix (PE);(PE);Camocim de São Félix;#N/D;0,588;0,585;0,738;0,472
Campanário (MG);(MG);Campanário;#N/D;0,616;0,607;0,831;0,464
Campanha (MG);(MG);Campanha;311090;0,709;0,715;0,849;0,587
Campestre (AL);(AL);Campestre;270135;0,559;0,55;0,729;0,435
Campestre da Serra (RS);(RS);Campestre da Serra;#N/D;0,706;0,713;0,886;0,557
Campestre de Goiás (GO);(GO);Campestre de Goiás;#N/D;0,653;0,628;0,799;0,556
Campestre do Maranhão (MA);(MA);Campestre do Maranhão;#N/D;0,652;0,611;0,774;0,586
Campestre (MG);(MG);Campestre;311100;0,698;0,712;0,843;0,566
Campinaçu (GO);(GO);Campinaçu;#N/D;0,631;0,644;0,819;0,476
Campina da Lagoa (PR);(PR);Campina da Lagoa;410390;0,704;0,677;0,829;0,623
Campina das Missões (RS);(RS);Campina das Missões;#N/D;0,738;0,698;0,849;0,677
Campina do Monte Alegre (SP);(SP);Campina do Monte Alegre;350945;0,717;0,687;0,846;0,634
Campina do Simão (PR);(PR);Campina do Simão;#N/D;0,63;0,598;0,792;0,527
Campina Grande do Sul (PR);(PR);Campina Grande do Sul;#N/D;0,718;0,712;0,86;0,605
Campina Grande (PB);(PB);Campina Grande;250400;0,72;0,702;0,812;0,654
Campinápolis (MT);(MT);Campinápolis;#N/D;0,538;0,597;0,803;0,324
Campinas do Piauí (PI);(PI);Campinas do Piauí;#N/D;0,544;0,524;0,776;0,397
Campinas do Sul (RS);(RS);Campinas do Sul;430380;0,76;0,753;0,842;0,691
Campinas (SP);(SP);Campinas;350950;0,805;0,829;0,86;0,731
Campina Verde (MG);(MG);Campina Verde;311110;0,704;0,714;0,868;0,562
Campinorte (GO);(GO);Campinorte;520470;0,688;0,685;0,841;0,565
Campo Alegre (AL);(AL);Campo Alegre;270140;0,57;0,531;0,742;0,47
Campo Alegre de Goiás (GO);(GO);Campo Alegre de Goiás;#N/D;0,694;0,702;0,811;0,586
Campo Alegre de Lourdes (BA);(BA);Campo Alegre de Lourdes;#N/D;0,557;0,516;0,778;0,43
Campo Alegre do Fidalgo (PI);(PI);Campo Alegre do Fidalgo;#N/D;0,537;0,528;0,762;0,385
Campo Alegre (SC);(SC);Campo Alegre;#N/D;0,714;0,677;0,845;0,636
Campo Azul (MG);(MG);Campo Azul;311115;0,621;0,55;0,799;0,546
Campo Belo do Sul (SC);(SC);Campo Belo do Sul;#N/D;0,641;0,648;0,768;0,528
Campo Belo (MG);(MG);Campo Belo;311120;0,711;0,706;0,868;0,586
Campo Bom (RS);(RS);Campo Bom;430390;0,745;0,755;0,852;0,643
Campo Bonito (PR);(PR);Campo Bonito;410405;0,681;0,69;0,813;0,562
Campo do Brito (SE);(SE);Campo do Brito;280100;0,621;0,625;0,793;0,484
Campo do Meio (MG);(MG);Campo do Meio;311130;0,683;0,655;0,827;0,588
Campo do Tenente (PR);(PR);Campo do Tenente;#N/D;0,686;0,661;0,806;0,606
Campo Erê (SC);(SC);Campo Erê;#N/D;0,69;0,702;0,787;0,595
Campo Florido (MG);(MG);Campo Florido;311140;0,706;0,735;0,858;0,558
Campo Formoso (BA);(BA);Campo Formoso;290600;0,586;0,566;0,749;0,475
Campo Grande (AL);(AL);Campo Grande;270150;0,524;0,502;0,739;0,387
Campo Grande do Piauí (PI);(PI);Campo Grande do Piauí;#N/D;0,56;0,545;0,721;0,446
Campo Grande (MS);(MS);Campo Grande;500270;0,784;0,79;0,844;0,724
Campo Largo do Piauí (PI);(PI);Campo Largo do Piauí;#N/D;0,528;0,479;0,766;0,401
Campo Largo (PR);(PR);Campo Largo;410420;0,745;0,73;0,854;0,664
Campo Limpo de Goiás (GO);(GO);Campo Limpo de Goiás;#N/D;0,661;0,654;0,829;0,533
Campo Limpo Paulista (SP);(SP);Campo Limpo Paulista;350960;0,769;0,733;0,84;0,739
Campo Magro (PR);(PR);Campo Magro;#N/D;0,701;0,685;0,828;0,607
Campo Maior (PI);(PI);Campo Maior;220220;0,656;0,629;0,793;0,566
Campo Mourão (PR);(PR);Campo Mourão;#N/D;0,757;0,749;0,841;0,689
Campo Novo de Rondônia (RO);(RO);Campo Novo de Rondônia;#N/D;0,593;0,667;0,772;0,404
Campo Novo do Parecis (MT);(MT);Campo Novo do Parecis;510263;0,734;0,745;0,819;0,649
Campo Novo (RS);(RS);Campo Novo;430400;0,703;0,677;0,866;0,593
Campo Redondo (RN);(RN);Campo Redondo;#N/D;0,626;0,554;0,758;0,584
Campos Altos (MG);(MG);Campos Altos;311150;0,702;0,69;0,86;0,582
Campos Belos (GO);(GO);Campos Belos;520490;0,692;0,661;0,815;0,616
Campos Borges (RS);(RS);Campos Borges;#N/D;0,708;0,704;0,819;0,616
Campos de Júlio (MT);(MT);Campos de Júlio;#N/D;0,744;0,8;0,825;0,625
Campos do Jordão (SP);(SP);Campos do Jordão;#N/D;0,749;0,761;0,852;0,648
Campos dos Goytacazes (RJ);(RJ);Campos dos Goytacazes;330100;0,716;0,715;0,83;0,619
Campos Gerais (MG);(MG);Campos Gerais;311160;0,682;0,666;0,821;0,58
Campos Lindos (TO);(TO);Campos Lindos;#N/D;0,544;0,578;0,738;0,377
Campos Novos Paulista (SP);(SP);Campos Novos Paulista;350980;0,706;0,67;0,824;0,638
Campos Novos (SC);(SC);Campos Novos;420360;0,742;0,721;0,861;0,658
Campos Sales (CE);(CE);Campos Sales;#N/D;0,63;0,584;0,769;0,556
Campos Verdes (GO);(GO);Campos Verdes;520495;0,654;0,608;0,796;0,577
Campo Verde (MT);(MT);Campo Verde;510267;0,75;0,755;0,834;0,67
Camutanga (PE);(PE);Camutanga;260360;0,606;0,57;0,76;0,514
Canaã dos Carajás (PA);(PA);Canaã dos Carajás;#N/D;0,673;0,67;0,801;0,569
Canaã (MG);(MG);Canaã;#N/D;0,649;0,644;0,798;0,532
Canabrava do Norte (MT);(MT);Canabrava do Norte;510269;0,667;0,616;0,817;0,589
Cananéia (SP);(SP);Cananéia;#N/D;0,72;0,677;0,851;0,649
Canapi (AL);(AL);Canapi;270160;0,506;0,504;0,719;0,357
Canápolis (BA);(BA);Canápolis;#N/D;0,565;0,531;0,732;0,463
Canápolis (MG);(MG);Canápolis;#N/D;0,722;0,721;0,872;0,598
Canarana (BA);(BA);Canarana;290620;0,587;0,555;0,734;0,496
Canarana (MT);(MT);Canarana;510270;0,693;0,735;0,825;0,549
Canas (SP);(SP);Canas;350995;0,704;0,646;0,797;0,677
Cana Verde (MG);(MG);Cana Verde;#N/D;0,65;0,652;0,821;0,512
Canavieira (PI);(PI);Canavieira;#N/D;0,583;0,525;0,778;0,485
Canavieiras (BA);(BA);Canavieiras;290630;0,59;0,596;0,796;0,434
Candeal (BA);(BA);Candeal;#N/D;0,587;0,554;0,787;0,465
Candeias (BA);(BA);Candeias;290650;0,691;0,652;0,823;0,616
Candeias do Jamari (RO);(RO);Candeias do Jamari;110080;0,649;0,652;0,819;0,512
Candeias (MG);(MG);Candeias;311200;0,678;0,699;0,83;0,537
