Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Senador Canedo (GO);(GO);Senador Canedo;522045;0,701;0,676;0,827;0,617
Senador Cortes (MG);(MG);Senador Cortes;316560;0,674;0,689;0,834;0,534
Senador Elói de Souza (RN);(RN);Senador Elói de Souza;#N/D;0,583;0,523;0,752;0,504
Senador Firmino (MG);(MG);Senador Firmino;316570;0,644;0,639;0,829;0,505
Senador Georgino Avelino (RN);(RN);Senador Georgino Avelino;241320;0,57;0,543;0,748;0,455
Senador Guiomard (AC);(AC);Senador Guiomard;120045;0,64;0,649;0,786;0,513
Senador José Bento (MG);(MG);Senador José Bento;#N/D;0,684;0,663;0,824;0,585
Senador José Porfírio (PA);(PA);Senador José Porfírio;#N/D;0,514;0,533;0,754;0,338
Senador La Rocque (MA);(MA);Senador La Rocque;#N/D;0,602;0,57;0,743;0,515
Senador Modestino Gonçalves (MG);(MG);Senador Modestino Gonçalves;#N/D;0,62;0,566;0,782;0,539
Senador Pompeu (CE);(CE);Senador Pompeu;231270;0,619;0,574;0,77;0,537
Senador Rui Palmeira (AL);(AL);Senador Rui Palmeira;270895;0,518;0,481;0,728;0,398
Senador Sá (CE);(CE);Senador Sá;#N/D;0,603;0,528;0,735;0,565
Senador Salgado Filho (RS);(RS);Senador Salgado Filho;432032;0,693;0,701;0,817;0,581
Sena Madureira (AC);(AC);Sena Madureira;120050;0,603;0,593;0,81;0,456
Sengés (PR);(PR);Sengés;#N/D;0,663;0,658;0,811;0,546
Senhora de Oliveira (MG);(MG);Senhora de Oliveira;316600;0,631;0,603;0,801;0,521
Senhora do Porto (MG);(MG);Senhora do Porto;#N/D;0,565;0,595;0,802;0,378
Senhora dos Remédios (MG);(MG);Senhora dos Remédios;#N/D;0,626;0,578;0,776;0,548
Senhor do Bonfim (BA);(BA);Senhor do Bonfim;293010;0,666;0,638;0,773;0,599
Sentinela do Sul (RS);(RS);Sentinela do Sul;#N/D;0,671;0,671;0,826;0,545
Sento Sé (BA);(BA);Sento Sé;#N/D;0,585;0,535;0,778;0,48
Serafina Corrêa (RS);(RS);Serafina Corrêa;#N/D;0,76;0,755;0,843;0,69
Sericita (MG);(MG);Sericita;316630;0,56;0,602;0,776;0,375
Seridó (PB);(PB);Seridó;#N/D;0,555;0,528;0,714;0,453
Seringueiras (RO);(RO);Seringueiras;#N/D;0,598;0,644;0,779;0,427
Sério (RS);(RS);Sério;#N/D;0,652;0,695;0,847;0,471
Seritinga (MG);(MG);Seritinga;#N/D;0,66;0,657;0,853;0,512
Seropédica (RJ);(RJ);Seropédica;#N/D;0,713;0,695;0,805;0,648
Serra Alta (SC);(SC);Serra Alta;421755;0,773;0,758;0,879;0,694
Serra Azul de Minas (MG);(MG);Serra Azul de Minas;316650;0,557;0,537;0,809;0,398
Serra Azul (SP);(SP);Serra Azul;355140;0,686;0,697;0,81;0,572
Serra Branca (PB);(PB);Serra Branca;251550;0,628;0,598;0,77;0,537
Serra da Raiz (PB);(PB);Serra da Raiz;#N/D;0,626;0,57;0,792;0,544
Serra da Saudade (MG);(MG);Serra da Saudade;316660;0,677;0,663;0,863;0,542
Serra de São Bento (RN);(RN);Serra de São Bento;#N/D;0,582;0,551;0,741;0,482
Serra do Mel (RN);(RN);Serra do Mel;#N/D;0,614;0,574;0,773;0,521
Serra do Navio (AP);(AP);Serra do Navio;160005;0,709;0,659;0,783;0,692
Serra do Ramalho (BA);(BA);Serra do Ramalho;#N/D;0,595;0,53;0,775;0,512
Serra dos Aimorés (MG);(MG);Serra dos Aimorés;#N/D;0,651;0,653;0,784;0,539
Serra do Salitre (MG);(MG);Serra do Salitre;316680;0,696;0,722;0,852;0,549
Serra Dourada (BA);(BA);Serra Dourada;293030;0,608;0,539;0,775;0,537
Serra (ES);(ES);Serra;320500;0,739;0,72;0,844;0,664
Serra Grande (PB);(PB);Serra Grande;#N/D;0,586;0,549;0,745;0,491
Serrana (SP);(SP);Serrana;355150;0,729;0,713;0,835;0,65
Serra Negra do Norte (RN);(RN);Serra Negra do Norte;#N/D;0,597;0,578;0,787;0,468
Serra Negra (SP);(SP);Serra Negra;355160;0,767;0,764;0,873;0,676
Serrania (MG);(MG);Serrania;316690;0,677;0,655;0,833;0,569
Serrano do Maranhão (MA);(MA);Serrano do Maranhão;#N/D;0,519;0,44;0,735;0,433
Serranópolis de Minas (MG);(MG);Serranópolis de Minas;#N/D;0,633;0,608;0,773;0,539
Serranópolis do Iguaçu (PR);(PR);Serranópolis do Iguaçu;#N/D;0,762;0,778;0,859;0,662
Serranópolis (GO);(GO);Serranópolis;#N/D;0,681;0,713;0,804;0,551
Serranos (MG);(MG);Serranos;#N/D;0,643;0,638;0,834;0,499
Serra Nova Dourada (MT);(MT);Serra Nova Dourada;510788;0,664;0,638;0,819;0,56
Serra Preta (BA);(BA);Serra Preta;293040;0,566;0,541;0,732;0,459
Serra Redonda (PB);(PB);Serra Redonda;#N/D;0,57;0,565;0,772;0,424
Serraria (PB);(PB);Serraria;251590;0,547;0,536;0,779;0,392
Serra Talhada (PE);(PE);Serra Talhada;261390;0,661;0,632;0,8;0,571
Serrinha (BA);(BA);Serrinha;293050;0,634;0,615;0,778;0,532
Serrinha dos Pintos (RN);(RN);Serrinha dos Pintos;241355;0,598;0,555;0,782;0,492
Serrinha (RN);(RN);Serrinha;#N/D;0,592;0,547;0,757;0,502
Serrita (PE);(PE);Serrita;261400;0,595;0,542;0,76;0,512
